player,age,dob,height_cm,club,rating
N. Dirar,33,25/02/1986,187,Fenerbahçe SK,75
Manuel da Costa,33,06/05/1986,191,Al Ittihad,75
Kiko Casilla,32,02/10/1986,190,Leeds United,75
M. Harnik,32,10/06/1987,186,SV Werder Bremen,75
P. Cissé,34,03/06/1985,183,Alanyaspor,75
S. Okaka,29,09/08/1989,186,Watford,75
O. Kamara,29,15/10/1989,184,DC United,75
A. Taarabt,30,24/05/1989,185,SL Benfica,75
O. Cardozo,36,20/05/1983,193,Paraguay,75
D. N'Doye,34,21/02/1985,186,FC København,75
T. Kraft,30,22/07/1988,187,Hertha BSC,75
W. Vainqueur,30,19/11/1988,179,Toulouse Football Club,75
D. Vukovic,34,27/03/1985,188,KRC Genk,75
O. Akhmedov,31,25/11/1987,181,Shanghai SIPG FC,75
A. Epureanu,32,27/09/1986,189,Medipol Başakşehir FK,75
A. Ranocchia,31,16/02/1988,195,Inter,75
M. Tekdemir,31,20/01/1988,178,Medipol Başakşehir FK,75
A. Carroll,30,06/01/1989,193,Newcastle United,75
C. Sánchez,33,06/02/1986,182,West Ham United,75
H. Nordtveit,29,21/06/1990,188,TSG 1899 Hoffenheim,75
F. Bartels,32,07/02/1987,176,SV Werder Bremen,75
S. Grytebust,29,25/10/1989,185,FC København,75
K. Mitroglou,31,12/03/1988,188,Galatasaray SK,75
J. Hogg,30,06/12/1988,176,Huddersfield Town,75
S. Langkamp,31,15/01/1988,191,SV Werder Bremen,75
L. Koné,30,01/02/1989,189,RC Strasbourg Alsace,75
C. Benteke,28,03/12/1990,190,Crystal Palace,75
R. Thomas,31,12/06/1988,193,Angers SCO,75
Y. Sankharé,29,10/09/1989,184,FC Girondins de Bordeaux,75
M. Darmian,29,02/12/1989,182,Manchester United,75
R. van Wolfswinkel,30,27/01/1989,185,FC Basel 1893,75
L. Montes,33,15/05/1986,166,Club León,75
J. Allen,29,14/03/1990,168,Stoke City,75
D. Gosling,29,01/02/1990,183,Bournemouth,75
I. Traoré,32,18/08/1986,184,Angers SCO,75
R. Cota,31,03/07/1987,183,Club León,75
K. Gibbs,29,26/09/1989,179,West Bromwich Albion,75
O. Norwood,28,12/04/1991,175,Sheffield United,75
M. Fabián,29,21/07/1989,171,Philadelphia Union,75
M. Ritchie,29,10/09/1989,172,Newcastle United,75
B. Espinosa,29,11/07/1989,192,RCD Espanyol,75
A. Paloschi,29,04/01/1990,182,SPAL,75
J. Hernández,30,10/06/1989,171,Pachuca,75
V. Vasin,30,06/10/1988,192,PFC CSKA Moscow,75
M. Isla,31,12/06/1988,176,Fenerbahçe SK,75
M. Phillips,28,13/03/1991,183,West Bromwich Albion,75
J. McCarthy,28,12/11/1990,180,Crystal Palace,75
M. Wakaso,28,25/07/1990,171,Deportivo Alavés,75
V. Babacan,30,11/08/1988,192,Medipol Başakşehir FK,75
C. Álvarez,33,13/11/1985,186,Real Zaragoza,75
D. Brosinski,30,17/07/1988,178,1. FSV Mainz 05,75
F. Caputo,31,06/08/1987,181,Sassuolo,75
Y. Bolasie,30,24/05/1989,188,Everton,75
Jonathas,30,06/03/1989,190,Hannover 96,75
J. Durmaz,30,22/03/1989,180,Galatasaray SK,75
João Aurélio,30,17/08/1988,182,Moreirense FC,75
B. Oczipka,30,12/01/1989,185,FC Schalke 04,75
J. Stanislas,29,26/11/1989,183,Bournemouth,75
D. Santon,28,02/01/1991,187,Roma,75
A. Prijović,29,21/04/1990,191,Al Ittihad,75
Éder,31,22/12/1987,190,Lokomotiv Moscow,75
Quique,29,16/05/1990,175,SD Eibar,75
W. Bony,30,10/12/1988,182,Côte d'Ivoire,75
Y. Salibur,28,24/01/1991,177,En Avant de Guingamp,75
D. Le Tallec,29,19/04/1990,187,Montpellier HSC,75
M. Gulde,28,12/02/1991,184,SC Freiburg,75
T. Arslan,28,16/08/1990,180,Fenerbahçe SK,75
O. Alonso,33,11/11/1985,180,Minnesota United FC,75
L. Sepe,28,08/05/1991,185,Parma,75
Dídac Vilà,30,09/06/1989,185,RCD Espanyol,75
L. Júnior,28,31/12/1990,180,RCD Mallorca,75
M. Yoshida,30,24/08/1988,189,Southampton,75
L. Rodríguez,28,21/01/1991,177,Tigres U.A.N.L.,75
P. Lasne,30,16/01/1989,186,Stade Brestois 29,75
J. Aquino,29,11/02/1990,168,Tigres U.A.N.L.,75
E. Badu,28,02/12/1990,173,Hellas Verona,75
A. Ioniță,28,17/08/1990,184,Cagliari,75
H. Badstuber,30,13/03/1989,190,VfB Stuttgart,75
G. Charbonnier,30,27/12/1988,188,Stade Brestois 29,75
E. Giaccherini,34,05/05/1985,167,Chievo Verona,75
M. Gonalons,30,10/03/1989,187,Roma,75
M. Braithwaite,28,05/06/1991,177,CD Leganés,75
P. Bargfrede,30,03/03/1989,174,SV Werder Bremen,75
M. Destro,28,20/03/1991,182,Bologna,75
H. Behrens,29,26/03/1990,188,1. FC Nürnberg,75
X. Chavalerin,28,07/03/1991,179,Stade de Reims,75
Fábio Espinho,33,18/08/1985,174,Boavista FC,75
A. Potuk,28,08/04/1991,177,Fenerbahçe SK,75
Leonardo,32,22/09/1986,173,Tianjin Quanjian FC,75
R. Gikiewicz,31,26/10/1987,190,1. FC Union Berlin,75
Y. Nagatomo,32,12/09/1986,170,Galatasaray SK,75
Borja García,28,02/11/1990,175,Girona FC,75
C. Dawson,29,06/05/1990,188,Watford,75
Tiago Pinto,31,01/02/1988,177,MKE Ankaragücü,75
M. Ninković,34,25/12/1984,180,Sydney FC,75
Javi López,33,21/01/1986,180,RCD Espanyol,75
C. Austin,29,05/07/1989,188,West Bromwich Albion,75
J. Fuenzalida,34,22/02/1985,170,Universidad Católica,75
J. Ayew,27,11/09/1991,182,Crystal Palace,75
Ximo Navarro,29,23/01/1990,176,Deportivo Alavés,75
Caio,28,09/08/1990,178,Al Ain FC,75
F. Jara,30,15/07/1988,180,Pachuca,75
M. Waris,27,19/09/1991,172,FC Porto,75
O. Murillo,31,18/04/1988,184,Pachuca,75
D. Drexler,29,26/05/1990,182,1. FC Köln,75
N. Mendy,27,23/06/1992,167,Leicester City,75
D. D'Ambrosio,30,09/09/1988,180,Inter,75
M. Lowton,30,09/06/1989,181,Burnley,75
D. Royer,29,22/05/1990,177,New York Red Bulls,75
E. Çolak,28,20/05/1991,169,Al Wehda,75
N. Blandi,29,13/01/1990,181,San Lorenzo de Almagro,75
Guilherme,28,21/05/1991,174,Yeni Malatyaspor,75
L. Rupp,28,08/01/1991,178,TSG 1899 Hoffenheim,75
J. Hendrick,27,31/01/1992,183,Burnley,75
N. Chadli,29,02/08/1989,187,RSC Anderlecht,75
Y. Konoplyanka,29,29/09/1989,178,FC Schalke 04,75
L. Teodorczyk,28,03/06/1991,188,Udinese,75
F. Santander,28,04/06/1991,187,Bologna,75
V. Eysseric,27,25/03/1992,181,Fiorentina,75
Recio,28,11/01/1991,183,CD Leganés,75
J. Schmid,29,22/06/1990,179,SC Freiburg,75
J. Kurtić,30,10/01/1989,186,SPAL,75
D. Nagbe,28,19/07/1990,175,Atlanta United,75
T. Chandler,29,29/03/1990,186,Eintracht Frankfurt,75
A. Diaby,28,21/05/1991,172,Sporting CP,75
Fabrício,29,28/03/1990,183,Urawa Red Diamonds,75
F. Castillo,27,17/06/1992,174,Querétaro,75
D. Chará,33,05/04/1986,172,Portland Timbers,75
V. Germain,29,17/04/1990,180,Olympique de Marseille,75
A. Donnarumma,28,30/11/1990,181,Brescia,75
F. Gutiérrez,28,08/10/1990,170,Sporting Kansas City,75
Eric Botteghin,31,31/08/1987,192,Feyenoord,75
A. Katai,28,06/02/1991,182,Chicago Fire,75
H. Soudani,31,25/11/1987,177,Olympiacos CFP,75
F. Novák,29,26/06/1990,184,Trabzonspor,75
Luís Hernández,30,14/04/1989,183,Málaga CF,75
L. Aued,32,01/03/1987,182,Universidad Católica,75
Lucas Lima,27,10/10/1991,179,FC Nantes,75
L. Fernández,28,12/03/1991,178,Vélez Sarsfield,75
Óscar Plano,28,11/02/1991,182,Real Valladolid CF,75
J. Vázquez,31,14/03/1988,166,Santos Laguna,75
J. Fernandes,30,04/10/1988,183,Alanyaspor,75
D. Machís,26,07/02/1993,174,Granada CF,75
L. Zuffi,29,27/03/1990,180,FC Basel 1893,75
M. Schnatterer,33,18/11/1985,180,1. FC Heidenheim 1846,75
R. Berić,28,17/06/1991,188,AS Saint-Étienne,75
A. Solari,27,03/01/1992,176,Racing Club,75
A. Hurtado,32,20/04/1987,172,Monterrey,75
L. Vangioni,32,05/05/1987,178,Monterrey,75
S. Palacios,27,20/01/1992,170,Independiente,75
Hernâni,27,20/08/1991,178,Levante UD,75
D. Torres,29,15/11/1989,183,Deportivo Alavés,75
L. Quiñones,28,26/06/1991,178,Tigres U.A.N.L.,75
Postigo,30,04/11/1988,185,Levante UD,75
E. Mas,30,15/01/1989,180,Boca Juniors,75
B. Bianchi,30,17/02/1989,183,Atlético Tucumán,75
J. Furch,29,29/07/1989,187,Santos Laguna,75
J. Buffarini,30,18/08/1988,170,Boca Juniors,75
G. Carrillo,28,25/05/1991,191,Southampton,75
Y. Gazinskiy,29,20/07/1989,184,Russia,75
Y. Lodygin,29,26/05/1990,187,Gazişehir Gaziantep F.K.,75
A. Ademi,28,29/05/1991,185,Dinamo Zagreb,75
Zainadine,31,24/06/1988,178,Clube Sport Marítimo,75
K. Billiat,28,19/08/1990,170,Kaizer Chiefs,75
O. Şahiner,27,02/01/1992,175,Atiker Konyaspor,75
Granell,30,02/08/1988,175,Girona FC,75
André Simões,29,16/12/1989,177,AEK Athens,75
G. Giménez,27,27/07/1991,188,Vélez Sarsfield,75
Simão Donatinho,35,29/02/1984,188,Cruzeiro,75
Silas Almeim,27,29/02/1992,177,Goiás,75
Caio Nunson,31,29/02/1988,185,Goiás,75
Otávio Cairinho,27,29/02/1992,179,Internacional,75
Jorginhson,27,29/02/1992,178,Goiás,75
Dani Rochelinhas,27,29/02/1992,178,Chapecoense,75
Kaíquão Castro,35,29/02/1984,190,Fluminense,75
Lafortiscinho,27,29/02/1992,178,Botafogo,75
Kaimo Lima,35,29/02/1984,188,Fluminense,75
Fabrio Farinha,27,29/02/1992,177,Atlético Mineiro,75
Gabrisco Aníbal,27,29/02/1992,182,Fortaleza,75
Allan Bardinho,27,29/02/1992,175,Botafogo,75
José Mirazar,35,29/02/1984,180,Grêmio,75
Ailton Guevara,27,29/02/1992,177,CSA - AL,75
Adilson Edrada,27,29/02/1992,176,Santos,75
Nicholas Aldair,27,29/02/1992,187,Fluminense,75
F. Niță,31,03/07/1987,184,Sparta Praha,75
L. Tawamba,29,20/12/1989,189,Al Taawoun,75
P. Dárenas,35,29/02/1984,190,Uruguay,75
P. Vaquizo,33,31/10/1985,180,Ecuador,75
D. Szoboszlai,18,25/10/2000,186,FC Red Bull Salzburg,74
N. Zaniolo,19,02/07/1999,190,Roma,74
C. Hudson-Odoi,18,07/11/2000,177,Chelsea,74
J. David,19,14/01/2000,177,KAA Gent,74
G. Chakvetadze,19,29/08/1999,178,KAA Gent,74
I. Hagi,20,22/10/1998,180,KRC Genk,74
Aleix García,22,28/06/1997,173,Manchester City,74
N. Benedetti,22,25/04/1997,177,Club América,74
D. Sow,22,06/02/1997,184,Eintracht Frankfurt,74
V. Osimhen,20,29/12/1998,185,LOSC Lille,74
H. Wolf,20,16/04/1999,179,RB Leipzig,74
J. Foyth,21,12/01/1998,187,Tottenham Hotspur,74
M. Demiral,21,05/03/1998,192,Juventus,74
O. Kabak,19,25/03/2000,186,FC Schalke 04,74
Matheus Cunha,20,27/05/1999,184,RB Leipzig,74
Z. Vanheusden,19,29/07/1999,186,Standard de Liège,74
M. Diaby,19,07/07/1999,170,Bayer 04 Leverkusen,74
D. McNeil,19,22/11/1999,183,Burnley,74
I. Bennacer,21,01/12/1997,173,Milan,74
J. Reine-Adélaïde,21,17/01/1998,184,Olympique Lyonnais,74
R. Doan,21,16/06/1998,172,FC Groningen,74
O. Edouard,21,01/01/1998,187,Celtic,74
L. Robertone,22,18/03/1997,173,Vélez Sarsfield,74
E. Barco,20,29/03/1999,165,Atlanta United,74
Douglas Luiz,21,09/05/1998,178,Aston Villa,74
Rodrigo Becão,23,19/01/1996,191,Udinese,74
Adrià Pedrosa,21,13/05/1998,176,RCD Espanyol,74
A. Král,21,19/05/1998,186,SK Slavia Praha,74
E. Cecchini,22,24/12/1996,180,Seattle Sounders FC,74
J. Barrera,23,16/09/1995,171,Atlético Nacional,74
P. Diop,21,08/08/1997,180,RC Celta,74
H. Choudhury,21,01/10/1997,178,Leicester City,74
João Carvalho,22,09/03/1997,170,Nottingham Forest,74
A. Ömür,20,25/06/1999,168,Trabzonspor,74
A. Isak,19,21/09/1999,190,Real Sociedad,74
O. Mangala,21,18/03/1998,178,VfB Stuttgart,74
E. Reynoso,23,16/11/1995,176,Boca Juniors,74
R. Alvarado,20,07/09/1998,176,Cruz Azul,74
M. Djenepo,21,15/06/1998,177,Southampton,74
L. Mothiba,23,28/01/1996,182,RC Strasbourg Alsace,74
Bruno Xadas,21,02/12/1997,179,SC Braga,74
M. Olivera,21,31/10/1997,184,Getafe CF,74
V. Shepelev,22,01/06/1997,184,Dynamo Kyiv,74
M. Loum,22,30/12/1996,188,FC Porto,74
Iago,22,23/03/1997,181,FC Augsburg,74
Róber,24,16/02/1995,182,Deportivo de La Coruña,74
Adama Traoré,23,25/01/1996,178,Wolverhampton Wanderers,74
P. Billing,23,11/06/1996,197,Bournemouth,74
Pablo Maffeo,21,12/07/1997,172,Girona FC,74
P. Roberts,22,05/02/1997,170,Norwich City,74
A. Ajeti,22,26/02/1997,183,West Ham United,74
K. Ajer,21,17/04/1998,196,Celtic,74
O. Pineda,23,24/03/1996,169,Cruz Azul,74
A. Rossi,23,21/08/1995,193,Club Atlético Lanús,74
V. Kovalenko,23,14/02/1996,182,Shakhtar Donetsk,74
Lato,21,21/11/1997,171,PSV,74
C. Söyüncü,23,23/05/1996,185,Leicester City,74
Joaquín,23,31/05/1996,190,Real Valladolid CF,74
J. Bijlow,21,22/01/1998,188,Feyenoord,74
S. Villa,23,19/05/1996,179,Boca Juniors,74
Aleix Febas,23,22/02/1996,171,RCD Mallorca,74
S. Lammers,22,30/04/1997,189,PSV,74
S. Cáseres,22,25/02/1997,177,Villarreal CF,74
M. Pongračić,21,11/09/1997,190,FC Red Bull Salzburg,74
Francis,23,11/03/1996,175,Real Betis,74
C. Musonda,22,15/10/1996,173,Vitesse,74
Lucas Torró,24,19/07/1994,190,Eintracht Frankfurt,74
L. Giannetti,25,13/11/1993,184,Vélez Sarsfield,74
Marlon,23,07/09/1995,182,Sassuolo,74
Pozo,23,15/03/1996,170,Rayo Vallecano,74
O. McBurnie,23,04/06/1996,191,Sheffield United,74
A. Cubas,23,11/05/1996,169,Club Atlético Talleres,74
C. Adams,22,13/07/1996,178,Southampton,74
E. Buendía,22,25/12/1996,170,Norwich City,74
P. Cissé,23,14/09/1995,197,Olympiacos CFP,74
T. Cardona,23,10/10/1995,186,Godoy Cruz,74
M. Degenek,25,28/04/1994,187,Australia,74
L. Rodríguez,22,27/04/1997,168,DC United,74
C. Bassogog,23,18/10/1995,173,Henan Jianye FC,74
Ontiveros,21,09/09/1997,172,Málaga CF,74
C. Awaziem,22,01/01/1997,189,CD Leganés,74
Pedro Rebocho,24,23/01/1995,170,Beşiktaş JK,74
S. Lukić,22,13/08/1996,183,Torino,74
E. Löwen,22,28/01/1997,188,Hertha BSC,74
J. Stephens,25,27/01/1994,185,Southampton,74
B. Petković,24,16/09/1994,193,Dinamo Zagreb,74
A. Browne,24,15/04/1995,173,Preston North End,74
V. Cantillo,25,15/10/1993,180,Junior FC,74
S. Benrahma,23,10/08/1995,172,Brentford,74
O. Watkins,23,30/12/1995,180,Brentford,74
Unai López,23,30/10/1995,170,Athletic Club de Bilbao,74
Walace,24,04/04/1995,188,Udinese,74
Pedro Nuno,24,13/01/1995,176,Moreirense FC,74
H. Diallo,24,15/06/1995,186,FC Metz,74
K. Adams Nuhu,24,22/06/1995,190,Fortuna Düsseldorf,74
K. Walker-Peters,22,13/04/1997,174,Tottenham Hotspur,74
Francisco Geraldes,24,18/04/1995,175,AEK Athens,74
B. Heynen,22,06/02/1997,182,KRC Genk,74
J. Aidoo,23,29/09/1995,180,RC Celta,74
Waldo,23,17/08/1995,181,Real Valladolid CF,74
Pol Lirola,21,13/08/1997,183,Fiorentina,74
C. Goldson,26,18/12/1992,191,Rangers FC,74
F. Quignon,26,02/05/1993,178,Club Atlético Lanús,74
V. Verre,25,11/01/1994,181,Hellas Verona,74
K. Olsson,24,30/06/1995,181,Sweden,74
D. Kourmpelis,25,02/11/1993,181,Panathinaikos FC,74
Kévin Rodrigues,25,05/03/1994,170,Real Sociedad,74
I. Kutepov,25,29/07/1993,192,Spartak Moscow,74
R. Durmisi,25,08/01/1994,168,Lazio,74
J. O'Connell,25,29/03/1994,191,Sheffield United,74
I. Lichnovsky,25,07/03/1994,188,Cruz Azul,74
L. Romero,25,18/04/1994,167,Independiente,74
J. Silva,25,29/06/1994,178,CD Leganés,74
A. El Ghazi,24,03/05/1995,189,Aston Villa,74
G. Nkoudou,24,13/02/1995,175,Tottenham Hotspur,74
R. Martínez,25,23/06/1994,180,Club América,74
B. Zungu,26,09/10/1992,184,Amiens SC,74
J. Alonso,26,09/02/1993,184,Boca Juniors,74
A. Barreca,24,18/03/1995,183,Genoa,74
V. Vada,23,06/03/1996,175,FC Girondins de Bordeaux,74
R. Tapia,23,28/07/1995,185,Feyenoord,74
A. Masina,25,02/01/1994,191,Watford,74
Caju,23,17/07/1995,185,SC Braga,74
H. Preciado,25,01/06/1994,182,Shenzhen FC,74
J. St. Juste,22,19/10/1996,184,1. FSV Mainz 05,74
A. Touré,23,28/04/1996,183,Eintracht Frankfurt,74
William,24,03/04/1995,171,VfL Wolfsburg,74
Gil Dias,22,28/09/1996,183,AS Monaco,74
R. Krunić,25,07/10/1993,184,Milan,74
P. Ševčík,25,04/05/1994,172,SK Slavia Praha,74
B. Gibson,26,15/01/1993,185,Burnley,74
Vadillo,24,12/09/1994,180,Granada CF,74
P. Gouano,25,24/12/1993,186,Amiens SC,74
S. Prcić,25,20/11/1993,181,Levante UD,74
A. Webster,24,04/01/1995,191,Brighton & Hove Albion,74
E. Krafth,24,02/08/1994,181,Newcastle United,74
Dória,24,08/11/1994,188,Santos Laguna,74
A. Baba,24,02/07/1994,179,Chelsea,74
B. Verstraete,25,16/04/1994,175,1. FC Köln,74
Manquillo,25,05/05/1994,178,Newcastle United,74
B. Dack,25,31/12/1993,175,Blackburn Rovers,74
T. Mings,26,13/03/1993,196,Aston Villa,74
J. Amavi,25,09/03/1994,176,Olympique de Marseille,74
Bruno Varela,24,04/11/1994,191,Ajax,74
F. Hadergjonaj,24,31/07/1994,182,Huddersfield Town,74
R. Thomas,24,20/12/1994,174,PSV,74
J. Aholou,25,20/03/1994,187,AS Saint-Étienne,74
A. Hack,25,08/09/1993,193,1. FSV Mainz 05,74
Iván Alejo,24,10/02/1995,184,Getafe CF,74
Pedro Sá,25,01/12/1993,175,Portimonense SC,74
D. Hovorka,25,07/08/1993,179,SK Slavia Praha,74
M. Trávník,25,17/05/1994,174,Sparta Praha,74
Bruno Lamas,25,13/04/1994,176,Santa Clara,74
T. Kaminski,26,23/10/1992,190,KAA Gent,74
R. Jack,27,27/02/1992,182,Rangers FC,74
J. Rodríguez,26,04/07/1992,186,Guadalajara,74
J. Ananidze,26,10/10/1992,171,Spartak Moscow,74
B. Hamid,28,25/11/1990,191,DC United,74
F. Rønnow,26,04/08/1992,190,Eintracht Frankfurt,74
J. Geis,25,17/08/1993,181,1. FC Nürnberg,74
G. Caprari,25,30/07/1993,176,Sampdoria,74
Y. Ayoub,25,06/03/1994,174,Feyenoord,74
D. Arslanagic,26,24/04/1993,191,Royal Antwerp FC,74
J. Egan,26,20/10/1992,188,Sheffield United,74
S. Dioudis,26,03/02/1993,189,Panathinaikos FC,74
Lucas Silva,26,16/02/1993,182,Real Madrid,74
J. Nsame,26,01/05/1993,188,BSC Young Boys,74
M. Agu,26,27/05/1993,184,Vitória Guimarães,74
Rubén García,25,14/07/1993,171,CA Osasuna,74
D. Heuer Fernandes,26,13/11/1992,188,Hamburger SV,74
Iuri Medeiros,24,10/07/1994,175,1. FC Nürnberg,74
C. Njie,25,15/08/1993,175,Cameroon,74
L. Diony,26,20/12/1992,183,AS Saint-Étienne,74
S. van Beek,24,28/07/1994,190,Feyenoord,74
L. Cavallini,26,28/12/1992,182,Puebla FC,74
D. Rolán,26,24/03/1993,177,Deportivo de La Coruña,74
F. Mora,25,02/08/1993,175,U.N.A.M.,74
R. Rey,28,08/03/1991,190,Pachuca,74
Burgui,25,29/10/1993,184,Deportivo Alavés,74
C. Stanković,26,04/11/1992,186,FC Red Bull Salzburg,74
M. Tisserand,26,10/01/1993,190,VfL Wolfsburg,74
Kahraba,25,13/04/1994,182,CD Aves,74
Chema Rodríguez,27,03/03/1992,189,Nottingham Forest,74
K. Lawrence,26,17/09/1992,178,New York Red Bulls,74
Hélder Costa,25,12/01/1994,179,Leeds United,74
Ivi,25,29/06/1994,175,SD Huesca,74
K. Dolly,26,22/01/1993,170,Montpellier HSC,74
J. Gallardo,24,15/08/1994,176,Monterrey,74
A. González,25,16/05/1994,169,Estudiantes de La Plata,74
Charles,25,04/02/1994,186,Clube Sport Marítimo,74
G. Cimirot,26,19/12/1992,178,Standard de Liège,74
A. Bouzat,25,28/03/1994,169,Vélez Sarsfield,74
A. Bălută,25,13/09/1993,166,SK Slavia Praha,74
T. Holeš,26,31/03/1993,180,SK Slavia Praha,74
H. Lindner,28,17/07/1990,187,Austria,74
Daniel Ayala,28,07/11/1990,190,Middlesbrough,74
J. Bruma,27,13/11/1991,190,VfL Wolfsburg,74
K. Babacar,26,17/03/1993,185,Sassuolo,74
Jordi Amat,27,21/03/1992,185,KAS Eupen,74
G. Trauner,27,25/03/1992,183,LASK Linz,74
A. Cornelius,26,16/03/1993,193,Parma,74
E. Dilaver,28,07/05/1991,184,Dinamo Zagreb,74
J. Ralls,25,13/10/1993,178,Cardiff City,74
Rubén Pardo,26,22/10/1992,181,Real Sociedad,74
R. Fredericks,26,10/10/1992,181,West Ham United,74
K. Roofe,26,06/01/1993,178,RSC Anderlecht,74
S. Falette,27,19/02/1992,184,Eintracht Frankfurt,74
L. Vietto,25,05/12/1993,175,Sporting CP,74
F. Helander,26,22/04/1993,192,Rangers FC,74
D. Dessoleil,26,07/08/1992,188,Sporting de Charleroi,74
T. Letschert,26,25/05/1993,188,Hamburger SV,74
J. van Overeem,25,01/06/1994,181,FC Utrecht,74
João Schmidt,26,19/05/1993,183,Nagoya Grampus,74
Cho Hyun Woo,27,25/09/1991,189,Daegu FC,74
Diego Rico,26,23/02/1993,183,Bournemouth,74
C. González,26,04/02/1993,183,U.N.A.M.,74
B. Valdez,26,06/10/1992,183,Club América,74
Maurício,27,06/02/1992,183,Urawa Red Diamonds,74
João Victor,25,27/03/1994,178,VfL Wolfsburg,74
D. Saba,26,18/11/1992,168,Guangzhou R&F FC,74
Oier,29,14/09/1989,190,Levante UD,74
L. Cooper,27,30/08/1991,188,Leeds United,74
F. Đuričić,27,30/01/1992,181,Sassuolo,74
L. Crisetig,26,20/01/1993,183,Bologna,74
S. Bell,27,24/08/1991,192,1. FSV Mainz 05,74
T. Sainsbury,27,05/01/1992,184,PSV,74
Diego Mariño,29,09/05/1990,187,Real Sporting de Gijón,74
E. Sviatchenko,27,04/10/1991,184,FC Midtjylland,74
S. Kittel,26,06/01/1993,179,Hamburger SV,74
G. Shinnie,27,04/08/1991,175,Derby County,74
J. Schlupp,26,23/12/1992,178,Crystal Palace,74
F. Viviani,27,24/03/1992,180,SPAL,74
O. Hiljemark,27,28/06/1992,184,Genoa,74
D. Foulquier,26,23/03/1993,183,Watford,74
F. Hübner,28,01/03/1991,193,1. FC Union Berlin,74
S. Bahoken,27,28/05/1992,185,Angers SCO,74
T. Delaine,27,24/03/1992,180,FC Metz,74
Jairo,25,11/07/1993,173,Hamburger SV,74
A. Ciciretti,25,31/12/1993,170,Napoli,74
J. Ferri,27,12/03/1992,172,Montpellier HSC,74
J. Damm,26,07/11/1992,185,Tigres U.A.N.L.,74
E. Durm,27,12/05/1992,183,Eintracht Frankfurt,74
J. Ramírez,26,25/05/1993,174,San Lorenzo de Almagro,74
F. Zuqui,27,27/11/1991,170,Club Atlético Colón,74
C. Lema,29,24/03/1990,191,Newell's Old Boys,74
Álvaro García,26,27/10/1992,168,Rayo Vallecano,74
Carlos Mané,25,11/03/1994,173,Rio Ave FC,74
S. Adamyan,26,23/05/1993,184,TSG 1899 Hoffenheim,74
T. Hlatshwayo,29,18/12/1989,188,South Africa,74
A. Romero,26,04/07/1992,176,San Lorenzo de Almagro,74
Z. Ferhat,26,01/03/1993,183,Nîmes Olympique,74
Munir,30,10/05/1989,190,Málaga CF,74
H. Martín,26,18/11/1992,177,Club América,74
T. Goiginger,26,15/03/1993,181,LASK Linz,74
Fábio Martins,25,24/07/1993,178,Famalicão,74
G. Ferrari,27,15/05/1992,189,Sassuolo,74
M. Trauco,26,25/08/1992,175,AS Saint-Étienne,74
J. Zmrhal,25,02/08/1993,189,Brescia,74
G. Blanco Leschuk,27,05/11/1991,190,Shakhtar Donetsk,74
Felipe,34,31/07/1984,188,SPAL,74
Tarantini,35,07/10/1983,188,Rio Ave FC,74
R. Nuzzolo,35,05/07/1983,175,Neuchâtel Xamax,74
Ricardo Costa,38,16/05/1981,184,Boavista FC,74
L. Butelle,36,03/04/1983,188,Angers SCO,74
Y. Pelé,36,04/11/1982,196,Olympique de Marseille,74
M. Rodríguez,38,02/01/1981,180,Newell's Old Boys,74
D. Benaglio,35,08/09/1983,194,AS Monaco,74
R. Hubník,35,06/06/1984,193,Viktoria Plzeň,74
F. Belluschi,35,10/09/1983,173,San Lorenzo de Almagro,74
Dani Giménez,35,30/07/1983,182,Deportivo de La Coruña,74
C. Maggio,37,11/02/1982,184,Benevento,74
F. Magnanelli,34,12/11/1984,181,Sassuolo,74
R. Salin,34,29/07/1984,189,Stade Rennais FC,74
S. Davis,34,01/01/1985,173,Rangers FC,74
A. Lennon,32,16/04/1987,165,Burnley,74
A. Talavera,36,18/09/1982,188,Deportivo Toluca,74
I. Afellay,33,02/04/1986,180,PSV,74
O. Peralta,35,12/01/1984,178,Guadalajara,74
W. Janssen,32,04/07/1986,186,FC Utrecht,74
G. İnler,35,27/06/1984,183,Medipol Başakşehir FK,74
Jurado,33,29/06/1986,173,Cádiz CF,74
D. Padelli,33,25/10/1985,191,Inter,74
B. Sharp,33,05/02/1986,175,Sheffield United,74
D. Limberský,35,06/10/1983,180,Viktoria Plzeň,74
C. Davies,34,15/03/1985,188,Derby County,74
S. Larsson,34,06/06/1985,178,AIK,74
S. M'Bia,33,20/05/1986,187,Wuhan Zall,74
R. Vlaar,34,16/02/1985,189,AZ Alkmaar,74
S. Sinclair,30,25/03/1989,178,Celtic,74
S. Long,32,22/01/1987,178,Southampton,74
A. Ulmer,33,30/10/1985,175,FC Red Bull Salzburg,74
F. Bastians,31,09/05/1988,188,Tianjin TEDA FC,74
P. Aguilar,33,06/03/1986,180,Club América,74
P. Mouche,31,11/10/1987,177,Colo-Colo,74
M. Sow,33,19/01/1986,180,Gazişehir Gaziantep F.K.,74
P. Hetemaj,32,12/12/1986,175,Chievo Verona,74
Crespo,32,09/02/1987,185,PAOK,74
K. Westwood,34,23/10/1984,187,Sheffield Wednesday,74
O. Trejo,31,26/04/1988,180,Rayo Vallecano,74
L. Cigarini,33,20/06/1986,175,Cagliari,74
L. Antonelli,32,11/02/1987,184,Empoli,74
